uri,artist,name,danceability,energy,key,tempo,duration_ms,popularity
4BH9zDv1Ys6kw0j3lU1hTx,Shawn Mendes,Particular Taste,0.968,0.352,9,111.968,175573,55
7xT0GApaXGNVMUdRx2taZv,Daya,Hide Away,0.884,0.826,11,94.997,192381,0
0naPdIQ2rxzVGM0rh7jkbi,2nd Moon,JinJu's s devotion,0.847,0.671,6,98.001,159490,11
40UxxCzNNEcW2q5Rjs9tMo,Elenco de Soy Luna,"Fush, Â¡Te Vas!",0.766,0.793,10,104.998,189480,0
3PJl6n0NRKBbbEOJdFD5AK,The Next Step,Hotel (feat. Jena Gogo & Sonia Sturino),0.762,0.811,2,149.985,141634,0
4PCVVIrUDldF5r7RXtOB5W,Rombai,Curiosidad,0.758,0.848,10,113.973,160784,53
0UwQTbq7ZtBJ7v530mpaxP,BTS,Stay Gold,0.724,0.631,1,129.019,243733,59
4lqvGmSAr0vDlqud81csJK,Fifth Harmony,Don't Wanna Dance Alone - Acoustic,0.634,0.346,1,59.407,217680,25
1V5SnN2nJb2Yv0gKpXToMT,DAY6,Stop The Rain,0.484,0.932,6,122.027,280373,33
7xPrFtLIGhCI7afY9WkZtb,Justin Hurwitz,"Chicken On A Stick - From ""La La Land"" Score",0.453,0.13,1,101.668,99907,0

